"","population","family","body","sub","mid","ilab","slab","post"
"171","INLAND","686",166,80,21,19,16,6
"172","INLAND","686",168,81,21,20,16,6
"173","INLAND","687",161,78,19,20,16,7
"174","INLAND","687",160,82,21,20,16,8
"175","INLAND","687",162,73,21,20,16,7
"176","INLAND","687",165,78,19,20,16,6
"177","INLAND","687",168,79,19,20,16,6
"178","INLAND","687",170,78,19,20,16,6
"179","INLAND","687",171,75,19,20,16,6
"180","INLAND","687",171,84,19,20,16,6
"181","INLAND","693",165,82,21,20,16,6
"182","INLAND","693",165,76,19,20,16,6
"183","INLAND","693",165,76,19,20,16,6
"184","INLAND","693",165,84,21,20,16,6
"185","INLAND","693",169,79,21,20,16,6
"186","INLAND","693",170,76,19,20,15,6
"187","INLAND","693",171,79,21,19,16,6
"188","INLAND","697",169,82,19,20,16,6
"189","INLAND","697",166,84,21,21,16,6
"190","INLAND","697",167,78,21,20,16,5
"191","INLAND","697",169,86,21,20,16,6
"192","INLAND","697",169,89,21,21,16,7
"193","INLAND","697",170,79,21,20,16,6
"194","INLAND","697",170,82,21,20,16,6
"195","INLAND","698",165,80,21,20,17,7
"196","INLAND","698",166,84,21,20,16,8
"197","INLAND","698",168,79,19,20,16,7
"198","INLAND","698",167,78,19,20,16,6
"199","INLAND","698",169,81,21,20,15,8
"200","INLAND","698",169,83,19,20,14,6
"201","INLAND","703",NA,86,21,20,16,6
"202","INLAND","703",164,79,21,20,16,6
"203","INLAND","703",167,83,21,20,16,6
"204","INLAND","703",168,83,21,20,16,6
"205","INLAND","703",168,83,21,20,16,6
"206","INLAND","703",169,85,21,20,15,6
"207","INLAND","703",167,85,21,20,16,6
"208","INLAND","703",169,85,21,20,16,6
"209","INLAND","703",171,81,21,20,16,6
"210","INLAND","703",173,83,21,20,16,6
"211","INLAND","703",174,84,21,20,16,7
"212","INLAND","704",167,83,21,20,15,6
"213","INLAND","704",164,76,19,20,16,6
"214","INLAND","704",169,75,21,20,16,6
"215","INLAND","704",173,77,21,20,16,6
"216","INLAND","711",169,83,21,21,16,7
"217","INLAND","711",161,79,21,20,16,5
"218","INLAND","711",167,81,21,23,16,7
"219","INLAND","711",168,77,21,22,16,6
"220","INLAND","711",168,84,21,20,17,6
"221","INLAND","711",169,75,19,20,16,8
"222","INLAND","711",169,86,21,20,16,8
"223","INLAND","711",171,81,21,20,16,6
"224","INLAND","712",162,75,21,20,16,7
"225","INLAND","712",157,79,19,20,14,6
"226","INLAND","712",160,81,21,20,16,6
"227","INLAND","712",161,80,21,20,16,6
"228","INLAND","712",162,74,21,20,15,6
"229","INLAND","713",168,75,21,20,16,7
"230","INLAND","713",165,80,19,20,16,6
